person_id,group_id
4221,226
4203,789
8454,81
8443,432
4224,151
8444,410
4210,591
8457,11
4221,261
4209,633
4200,917
8433,773
8454,130
4221,277
4200,939
4221,291
4210,641
4221,302
4205,798
8443,505
4208,716
8459,12
4221,328
8444,498
4200,996
4203,907
4221,350
8454,210
8454,212
4211,672
8454,221
8430,965
4221,371
8457,136
4221,378
8444,541
8445,521
8444,555
4221,393
3,83
8444,560
8441,653
8454,247
4221,406
4221,412
4221,409
8431,969
8444,576
4234,16
4214,641
8445,549
4211,735
8439,738
8432,966
6,28
8457,200
4214,655
4208,845
4235,11
4221,445
4208,848
8457,209
8452,364
8444,614
4223,396
4232,125
8439,789
8454,318
4208,878
4211,786
4221,484
4234,84
4221,485
4211,805
4208,903
8454,344
4221,504
4208,909
4234,112
4208,916
3,205
4221,518
4208,925
4221,532
4211,842
4238,9
4221,536
3,221
8444,692
4235,106
8457,301
4234,141
8457,298
4235,117
8460,212
4221,555
8445,679
8444,711
10,27
8438,907
3,247
4234,168
4236,111
8444,737
4234,171
4223,512
3,269
4221,588
7,151
4238,62
4235,159
4240,12
4234,198
4234,209
4234,207
4237,118
12,24
4221,619
4221,620
4236,152
8454,474
8467,67
4221,627
8444,794
4221,633
4238,107
4239,81
4210,981
8441,890
8443,839
4235,221
8459,347
3,345
10,129
4221,661
4234,264
5,295
8443,861
4221,677
8446,777
8439,994
8460,352
13,63
4230,407
4236,230
4221,704
4239,149
8454,550
4214,927
10,185
4239,159
4239,166
8444,890
4240,142
4221,730
4234,336
4234,335
8454,585
4221,749
4221,756
4240,169
8457,527
8450,744
4221,766
8444,925
4221,769
8467,221
8464,325
17,48
10,270
4234,401
1,553
8467,257
4235,371
4234,402
8459,505
8444,964
4239,254
4235,382
8475,14
8467,273
8457,580
8464,372
15,152
8475,42
4247,41
10,315
15,161
4235,418
4221,853
4234,461
4234,462
4221,872
4248,32
4221,876
4234,476
4241,257
4241,258
4234,480
8454,726
8465,388
4239,330
4247,87
8466,385
4221,905
4235,472
4247,106
4235,479
4236,454
4221,920
8454,768
4248,91
8450,904
4237,439
4234,530
8457,703
4221,947
8474,182
4234,548
4248,113
4221,955
4239,401
4234,556
8451,906
23,31
8467,416
4239,414
4239,417
4248,137
3,665
4251,48
4247,181
4247,182
8454,831
4221,993
4,652
4236,535
10,468
8468,419
4239,446
8474,240
17,267
4239,455
8450,992
13,409
4239,478
8454,892
4243,359
4234,639
12,455
4239,488
8457,804
8478,165
8479,140
4236,597
4243,390
13,446
1,818
4247,263
4239,517
8467,516
4235,639
25,82
8479,163
4234,684
23,152
25,95
4247,287
8454,948
20,255
17,348
4237,603
4235,673
10,578
3,800
8454,972
4235,690
8478,225
4247,321
8483,80
8467,576
8477,267
4246,359
25,143
20,298
4232,796
4247,335
4234,739
8460,811
8467,590
4235,717
8460,818
5,776
8486,7
8484,80
4239,601
10,626
23,230
4235,735
4251,240
8467,624
8487,5
4235,739
8485,62
4235,744
8460,839
4239,625
17,437
15,500
8486,41
4238,659
8478,298
8486,52
8487,22
8467,642
8477,325
8485,79
8474,420
8486,60
4251,268
4243,516
4234,800
8478,303
8464,738
