id,createdOn,creator_id,topic_id
1,2004-12-21,7875,10
2,2014-05-04,4896,3
3,2014-07-22,3554,5
4,2011-07-01,7351,3
5,2012-11-14,4538,10
6,2010-12-01,8647,4
7,2015-11-19,7664,5
8,2015-12-27,2190,5
9,2011-01-01,41,7
10,2015-01-04,2232,2
11,2006-08-12,4637,5
12,2009-06-01,9777,6
13,2013-09-16,9575,8
14,2009-05-15,1477,4
15,2009-11-12,5545,2
16,2015-08-11,8274,8
17,2014-11-07,7900,6
18,2010-05-01,559,2
19,2015-02-06,4852,9
20,2015-01-09,358,7
21,2014-09-08,8242,9
22,2006-10-13,28,3
23,2014-05-08,9924,6
24,2015-12-27,4098,9
25,2010-02-13,6663,5
26,2014-06-24,4484,7
27,2007-06-03,8301,2
28,2009-04-28,5054,10
29,2013-02-19,4281,2
30,2013-03-20,7887,10
31,2012-10-22,8710,8
32,2004-08-13,4005,9
33,2014-08-06,1959,9
34,2014-11-11,9240,3
35,2001-04-30,2650,4
36,2015-06-13,1827,5
37,2010-12-15,8550,8
38,2011-12-16,9804,2
39,2015-02-24,4532,10
40,2010-10-29,4965,5
41,2015-06-27,4602,10
42,2010-01-17,3579,7
43,2006-09-28,4225,9
44,2012-10-21,8316,2
45,2015-11-27,6536,8
46,2015-08-04,5334,10
47,2004-04-30,1121,7
48,2015-05-11,5066,5
49,2011-05-08,1514,4
50,2014-08-31,2799,2
51,2004-01-11,1542,5
52,2014-04-08,4962,1
53,2013-10-10,7466,1
54,2015-12-11,3003,9
55,2015-01-04,6964,8
56,2013-07-31,5659,8
57,2005-09-20,4036,9
58,2014-06-28,2018,1
59,2013-02-26,3727,3
60,2009-10-10,5070,9
61,2013-01-22,3736,4
62,2013-02-03,6285,8
63,2014-07-01,7407,2
64,2015-12-17,6259,1
65,2015-07-16,4614,5
66,2014-05-26,1527,4
67,2007-07-28,462,6
68,2006-12-09,5688,10
69,2006-08-03,1441,2
70,2015-07-18,6349,3
71,2010-12-20,9112,3
72,2014-11-04,4089,10
73,2010-10-17,4908,7
74,2004-10-02,4125,5
75,2013-01-07,3625,5
76,2014-01-17,7352,10
77,2011-09-29,7103,7
78,2014-08-10,5610,9
79,2011-01-31,5954,7
80,2015-02-06,9910,10
81,2014-03-25,4514,2
82,2015-02-10,7973,3
83,2015-04-15,3541,4
84,2011-02-25,9895,3
85,2012-10-01,8527,8
86,2015-01-25,1733,8
87,2015-11-20,452,2
88,2012-03-28,2898,1
89,2007-02-19,564,2
90,2014-01-31,2496,7
91,2013-03-22,6421,2
92,2009-11-02,8910,7
93,2014-02-19,4239,7
94,2009-08-10,9679,7
95,2013-02-09,3408,1
96,2010-06-30,3686,4
97,2014-06-13,5567,3
98,2015-05-30,3229,3
99,2011-06-09,5054,5
100,2014-07-14,1893,9
101,2011-10-16,6393,9
102,2014-12-05,3960,5
103,2013-04-21,380,10
104,2015-04-24,42,1
105,2014-02-22,8544,8
106,2009-05-31,2414,9
107,2010-12-04,6405,9
108,2014-05-15,6837,1
109,2009-08-19,6300,10
110,2010-02-15,3617,5
111,2014-08-23,4075,10
112,2015-10-15,4104,1
113,2006-11-20,1780,10
114,2012-09-29,3043,1
115,2014-09-18,6623,1
116,2014-09-30,3046,4
117,2007-11-15,323,3
118,2014-09-08,3642,4
119,2013-01-08,5684,3
120,2009-06-13,5142,2
121,2015-09-05,6934,1
122,2015-12-24,8637,1
123,2004-10-17,1519,8
124,2015-05-25,1728,4
125,2013-02-12,8635,10
126,2015-04-30,8132,3
127,2011-12-06,8089,7
128,2010-12-10,110,7
129,2015-04-30,5347,1
130,2006-03-03,4507,9
131,2003-12-04,2955,6
132,2003-01-01,4188,9
133,2005-03-10,9376,10
134,2014-01-15,6255,3
135,2012-01-30,1072,4
136,2014-07-14,4121,4
137,2015-02-18,6087,3
138,2003-05-18,2031,10
139,2010-03-01,9382,2
140,2012-05-03,9699,7
141,2015-05-02,3327,5
142,2015-05-03,8011,5
143,2010-02-20,4348,1
144,2009-08-11,7886,8
145,2015-11-29,3376,5
146,2014-02-29,1624,7
147,2005-05-07,8085,8
148,2013-01-12,2829,5
149,2012-08-13,8884,9
150,2015-09-15,4586,7
151,2009-02-27,7412,10
152,2014-06-09,9495,1
153,2010-02-23,9321,3
154,2009-02-09,9528,6
155,2013-04-19,6494,10
156,2013-08-01,6579,7
157,2007-12-09,749,4
158,2011-12-05,9388,10
159,2013-04-24,2218,4
160,2014-06-09,1259,8
161,2015-09-02,6368,8
162,2011-09-04,6047,1
163,2014-03-09,7459,10
164,2015-06-24,3309,2
165,2011-10-21,165,10
166,2009-10-31,864,8
167,2010-03-25,5860,8
168,2014-10-15,6372,9
169,2009-06-22,8288,5
170,2007-12-15,4750,1
171,2010-01-15,1354,7
172,2009-12-01,4899,9
173,2015-12-29,3832,5
174,2010-10-28,7721,10
175,2013-06-20,5430,9
176,2015-11-27,6858,9
177,2011-10-25,4870,8
178,2013-12-20,6692,9
179,2013-04-15,3208,10
180,2015-02-16,5262,1
181,2006-06-17,3860,4
182,2015-05-06,3222,4
183,2010-01-19,6996,3
184,2015-06-19,9509,6
185,2015-10-01,7311,5
186,2012-04-16,3827,8
187,2014-06-19,1824,8
188,2011-03-18,3879,7
189,2012-07-27,4997,3
190,2014-10-11,7255,7
191,2015-11-29,1779,3
192,2009-01-25,2174,3
193,2012-08-24,6951,1
194,2015-09-30,875,4
195,2013-01-17,7032,5
196,2015-07-30,3286,1
197,2015-05-29,1448,4
198,2012-11-15,7373,3
199,2009-03-15,7608,10
200,2007-08-20,2429,2
201,2011-03-08,4043,9
202,2015-10-28,4604,3
203,2014-01-29,3699,7
204,2009-03-28,1395,10
205,2015-11-01,1336,3
206,2010-08-31,9434,9
207,2015-01-19,4343,3
208,2015-11-19,3899,8
209,2015-04-10,6679,9
210,2008-10-11,6088,3
211,2015-11-08,8166,10
212,2011-12-21,6664,8
213,2015-12-13,5778,6
214,2015-06-06,7100,3
215,2013-04-23,4244,4
216,2015-09-25,7600,7
217,2000-10-08,7447,6
218,2011-05-25,1981,9
219,2006-05-07,7047,7
220,2015-02-29,5292,5
221,2013-09-28,5972,8
222,2008-01-13,8197,5
223,2011-03-03,4709,4
224,2015-09-16,9989,3
225,2014-01-11,7881,5
226,2014-06-26,3422,2
227,2009-04-04,7192,8
228,2007-04-28,5832,9
229,2005-02-27,3433,2
230,2014-08-16,1701,7
231,2007-03-09,5485,1
232,2015-12-17,8675,7
233,2012-02-20,2920,8
234,2011-06-05,1098,8
235,2011-02-11,2000,10
236,2009-06-04,9381,2
237,2015-08-22,9565,1
238,2015-02-04,3293,8
239,2012-08-24,8673,8
240,2013-12-05,2945,2
241,2014-04-22,8913,9
242,2009-02-10,8802,5
243,2013-12-18,6561,4
244,2008-09-03,8907,9
245,2014-10-25,9758,9
246,2013-02-19,622,6
247,2008-12-06,1797,4
248,2011-12-05,7432,1
249,2003-07-05,2977,1
250,2009-08-10,4903,4
251,2014-04-23,2306,2
252,2011-12-20,6898,2
253,2014-03-23,8936,10
254,2010-05-07,1542,3
255,2015-08-26,5838,8
256,2013-12-31,466,7
257,2015-11-21,4,3
258,2015-01-15,6808,4
259,2015-02-18,1685,8
260,2009-10-20,7524,2
261,2013-11-12,2072,1
262,2008-11-10,3976,1
263,2012-12-31,2225,4
264,2015-07-18,9142,9
265,2015-08-11,3191,7
266,2015-03-10,7799,10
267,2014-09-02,9281,7
268,2013-09-17,9720,4
269,2015-03-16,2057,4
270,2013-11-02,5860,10
271,2010-08-23,4258,6
272,2013-02-29,2732,9
273,2014-01-19,8902,1
274,2013-06-09,2308,9
275,2012-10-30,6856,5
276,2011-03-09,5703,1
277,2015-05-27,9193,10
278,2010-05-30,7546,6
279,2006-05-27,8790,1
280,2010-10-12,9918,7
281,2008-06-14,4638,8
282,2007-06-21,8959,8
283,2009-06-26,5280,5
284,2015-03-21,4905,9
285,2015-10-27,4883,3
286,2013-12-09,1547,4
287,2008-02-01,6400,10
288,2011-08-18,2596,5
289,2015-01-15,858,5
290,2009-12-25,7385,3
291,2014-08-02,782,8
292,2009-12-09,6008,1
293,2013-12-02,5493,6
294,2006-02-07,6503,7
295,2003-01-27,9478,10
296,2007-11-15,1558,8
297,2012-08-07,6184,1
298,2015-08-15,83,2
299,2012-06-10,1222,5
300,2007-06-10,7004,5
301,2015-10-17,8075,8
302,2010-12-16,2094,8
303,2015-05-14,8268,1
304,2013-11-23,508,5
305,2013-06-04,4213,6
306,2015-11-17,7964,4
307,2013-06-02,9787,2
308,2014-11-16,7916,2
309,2005-12-17,3985,9
310,2014-10-10,3474,2
311,2013-04-16,8006,6
312,2008-03-04,1072,9
313,2014-03-17,460,1
314,2012-09-21,7286,6
315,2012-06-30,8212,1
316,2013-08-14,7810,10
317,2008-05-15,6500,1
318,2015-11-28,5778,6
319,2012-10-05,6202,6
320,2013-02-06,2362,2
321,2007-06-14,2202,4
322,2013-11-04,2897,2
323,2014-06-23,1443,10
324,2009-02-29,8070,1
325,2014-09-18,3104,4
326,2011-02-16,6288,4
327,2013-10-03,1355,6
328,2012-08-05,1475,6
329,2015-06-13,2492,8
330,2012-06-03,2846,6
331,2015-03-31,1343,6
332,2012-12-16,7169,5
333,2008-03-01,4979,5
334,2010-06-20,3787,8
335,2014-12-25,1422,1
336,2013-05-14,7602,9
337,2012-04-07,9294,8
338,2015-01-21,5580,2
339,2012-12-06,2218,4
340,2014-03-07,8026,7
341,2014-12-01,2407,1
342,2015-09-26,5589,4
343,2008-02-03,5831,3
344,2015-09-29,2544,4
345,2013-02-16,6492,9
346,2014-01-14,7549,1
347,2014-10-15,4891,5
348,2015-12-11,4059,8
349,2010-12-26,4107,3
350,2014-12-30,8061,10
351,2015-11-27,1308,7
352,2014-04-25,3766,5
353,2015-11-05,5764,5
354,2012-12-29,8849,4
355,2011-10-23,8388,7
356,2014-04-16,9549,1
357,2005-05-06,7498,7
358,2013-08-27,2949,3
359,2015-10-07,1728,4
360,2015-06-13,1085,8
361,2015-06-18,849,3
362,2011-08-16,9128,4
363,2011-11-07,1564,6
364,2014-03-25,5079,9
365,2014-02-02,5969,5
366,2014-05-25,2556,8
367,2013-09-22,4776,5
368,2007-12-18,9548,5
369,2009-01-27,3025,4
370,2007-04-27,643,1
371,2014-01-06,5430,6
372,2015-05-28,6322,9
373,2014-10-17,7516,1
374,2015-08-10,5203,3
375,2015-12-26,2168,6
376,2014-05-06,7645,1
377,2014-11-01,5727,8
378,2015-05-09,8723,6
379,2015-07-29,326,8
380,2014-11-07,6854,8
381,2011-07-22,4392,5
382,2014-06-24,9627,1
383,2005-04-10,8982,8
384,2009-08-05,6167,5
385,2008-02-29,3544,6
386,2008-05-04,7543,7
387,2015-01-03,3378,10
388,2010-01-14,3341,5
389,2006-05-21,2674,2
390,2015-01-26,5764,10
391,2014-12-02,4069,5
392,2008-02-10,9764,10
393,2005-03-01,6169,7
394,2013-05-24,6945,7
395,2015-09-30,6509,3
396,2007-09-26,3966,8
397,2014-03-07,6981,3
398,2015-06-28,6319,3
399,2012-09-09,5530,9
400,2012-12-05,9836,5
401,2014-12-21,2590,3
402,2012-08-22,1649,10
403,2009-08-13,6205,8
404,2015-05-29,3538,9
405,2015-10-17,4479,9
406,2010-08-06,2028,8
407,2013-04-05,3162,2
408,2014-07-22,4647,9
409,2003-12-04,6996,9
410,2012-11-12,679,1
411,2013-11-23,6853,9
412,2015-03-22,6338,10
413,2011-02-25,6283,5
414,2014-02-20,2940,9
415,2015-06-28,2600,5
416,2013-09-22,1726,4
417,2001-08-16,3494,2
418,2011-07-03,8165,9
419,2007-02-06,9867,8
420,2008-04-03,8438,4
421,2005-04-14,3175,6
422,2011-02-15,7999,10
423,2015-09-03,2330,6
424,2015-11-17,8233,10
425,2008-04-29,1187,8
426,2015-04-14,1498,2
427,2009-02-26,6835,9
428,2014-05-28,8486,9
429,2014-06-03,6255,4
430,2015-09-30,9654,1
431,2015-05-13,1988,2
432,2008-03-29,9969,3
433,2010-11-05,4741,1
434,2013-07-26,4566,1
435,2013-04-29,2481,1
436,2012-02-19,6172,10
437,2013-05-03,5168,6
438,2015-02-24,6656,6
439,2003-06-25,4699,2
440,2014-12-07,7342,10
441,2012-08-26,2075,2
442,2014-12-26,5499,3
443,2013-03-08,2921,8
444,2011-07-22,9055,3
445,2011-11-03,6101,8
446,2012-03-09,7376,9
447,2014-01-12,2066,3
448,2010-11-14,3625,9
449,2012-12-04,7999,8
450,2013-08-04,6697,1
451,2013-05-23,5057,4
452,2010-04-30,6104,9
453,2014-12-03,3195,5
454,2015-11-07,7541,6
455,2014-12-25,6384,1
456,2002-10-19,5514,4
457,2007-03-05,783,9
458,2015-09-20,9361,7
459,2015-06-17,7116,2
460,2015-06-30,2336,5
461,2015-04-05,9408,5
462,2012-09-29,7503,10
463,2005-07-05,4839,5
464,2014-10-12,5979,3
465,2013-11-11,551,2
466,2011-07-10,1987,8
467,2014-06-06,8016,2
468,2015-08-17,3647,10
469,2010-01-14,3663,1
470,2015-05-21,2192,1
471,2015-02-08,2364,3
472,2014-05-23,9218,3
473,2003-06-18,996,7
474,2013-12-02,4286,7
475,2006-08-17,81,8
476,2013-12-24,1837,2
477,2005-12-26,1604,5
478,2010-11-24,407,2
479,2015-07-18,4197,3
480,2003-07-18,4393,5
481,2015-06-13,3265,1
482,2015-12-23,5941,9
483,2014-02-19,6371,6
484,2013-04-30,9796,4
485,2011-12-21,6717,7
486,2015-12-26,3990,3
487,2013-01-28,4597,1
488,2014-09-18,9513,10
489,2015-05-05,6397,3
490,2014-10-10,6984,9
491,2015-08-30,8298,5
492,2011-09-30,5835,8
493,2015-10-03,4470,9
494,2015-06-10,1004,5
495,2011-03-01,6641,4
496,2011-02-07,7610,5
497,2013-12-23,3906,8
498,2008-03-29,9414,3
499,2015-05-09,6220,6
500,2015-05-22,9099,6
501,2007-07-31,2668,5
502,2015-11-16,1258,6
503,2014-04-09,9598,8
504,2013-04-07,435,9
505,2011-07-20,1791,1
506,2015-09-15,8545,7
507,2015-05-12,2653,10
508,2012-03-03,7676,4
509,2015-12-09,8026,5
510,2011-08-20,2274,9
511,2014-07-15,4016,8
512,2015-06-25,7839,2
513,2014-02-27,1390,8
514,2007-03-06,5496,4
515,2014-06-21,7088,9
516,2015-11-28,7752,5
517,2013-03-06,6558,2
518,2015-12-04,1122,7
519,2015-12-14,4747,4
520,2006-01-13,2965,9
521,2015-02-29,3117,5
522,2008-08-28,6701,1
523,2010-11-26,2812,8
524,2015-04-19,2662,5
525,2014-12-16,4195,10
526,2015-05-04,9372,5
527,2015-05-24,9524,10
528,2015-10-10,5710,2
529,2010-09-22,2680,8
530,2014-12-22,2592,6
531,2014-12-13,2996,7
532,2015-02-13,1072,5
533,2015-10-16,7191,5
534,2015-12-06,1216,4
535,2012-08-08,7584,7
536,2003-01-06,1938,9
537,2012-12-09,8572,5
538,2011-08-18,7874,4
