person_id,group_id
8425,974
2091,720
4199,907
6313,909
6316,821
8430,824
4199,916
4199,922
4208,640
4199,919
4199,920
8438,583
2087,859
2091,737
4200,896
4200,897
6316,840
2105,318
2096,597
2093,690
4200,909
4199,945
8437,643
6317,828
4221,269
4223,213
6329,462
4199,955
8457,28
8458,6
2113,90
6329,469
4199,969
2114,71
2093,722
8453,166
8458,12
4226,134
4202,878
8458,22
4223,233
4199,977
8441,550
4199,978
4200,944
4199,975
8458,33
4199,989
6334,340
8458,29
6316,896
4199,988
4199,993
6317,870
2087,932
6313,999
2087,934
6316,911
4224,227
2096,659
6338,226
4210,664
2113,133
4226,166
4200,978
4215,514
6335,328
4230,57
6335,337
8457,101
2106,370
4228,130
6315,970
8457,98
4223,286
4228,128
4212,624
2092,813
4208,755
2093,784
2113,166
2110,265
8458,83
2093,796
6329,554
4229,123
2107,370
6316,960
4221,379
4215,566
2087,1000
6341,199
4212,663
2101,568
2096,724
6338,299
8437,771
6344,117
8458,135
4223,346
2119,33
2119,36
4228,194
6329,600
4210,753
8441,660
8441,669
2119,42
6341,229
4212,699
4221,423
4,82
8442,652
2119,63
6335,445
8437,814
2118,101
4224,349
2114,226
8437,828
4224,358
6335,452
6329,638
8453,328
6329,644
6344,178
7,28
8457,218
6329,660
2110,383
8,9
4234,77
6345,171
6329,671
2091,978
4228,271
2113,299
8441,740
8438,842
2121,57
2096,835
2113,309
6338,408
4217,622
2113,314
2114,285
6344,230
4236,41
8,41
4,165
4216,667
6329,699
4223,448
6329,704
4228,297
8438,866
8,51
2110,428
4225,402
4210,872
8,62
2110,437
6344,256
2118,196
2124,14
8,75
2118,207
8437,930
8441,801
6344,276
6329,741
8467,7
8458,286
8457,320
8457,313
2113,374
8449,563
6334,600
4236,101
2105,629
2119,198
4,227
4224,477
4208,973
6344,302
2124,51
2123,81
2105,641
6342,367
2,301
6345,279
6338,496
4240,3
4229,344
8454,444
8437,972
2113,408
2101,779
6335,606
4240,15
4240,13
6345,300
4217,733
8458,333
6354,29
4210,956
8457,374
4240,30
8450,586
4240,29
6345,309
11,59
4226,468
4240,35
2096,960
2096,963
2126,32
4225,504
8458,348
2126,36
4240,47
8438,976
4212,918
2107,635
8441,891
8,176
2110,552
2124,120
2124,123
8469,41
6354,66
4240,70
4224,566
6329,848
4223,598
4213,908
2127,38
4240,68
4223,595
2110,566
8,194
4240,73
2119,294
8458,388
4240,80
8457,431
8441,928
8462,271
8453,562
6345,370
6341,494
4224,584
6333,748
4240,92
4232,345
4223,624
4221,691
4240,107
2106,722
4240,104
2124,167
4228,482
4213,951
4240,112
2114,484
6342,486
6344,435
2113,521
8,246
4240,130
2110,623
2126,126
6329,907
4213,965
4,375
2105,779
8451,660
4215,910
6352,197
4237,231
4240,137
4217,856
4224,636
4236,265
2113,546
11,172
12,146
8458,460
8458,470
11,180
8458,472
4240,158
8462,342
4240,159
4228,529
2120,344
4232,408
2118,409
8453,635
11,190
8472,40
6354,168
6357,74
8,286
4215,939
2127,133
6354,170
4237,262
8453,637
2126,170
6344,490
4240,177
2126,179
6341,586
11,211
6359,33
4223,714
4240,188
8450,748
2110,687
4215,968
6359,45
6335,788
2124,258
8,319
6354,204
2110,701
2119,425
2118,459
2101,985
8472,90
4240,219
8458,537
8450,785
4240,220
6359,72
19,6
8467,260
8453,695
4244,108
6335,824
2124,294
4240,239
2118,484
8472,124
4240,243
6359,88
4247,29
6362,5
4240,250
4240,251
2119,466
4,494
6344,560
6359,101
4240,253
2119,472
8457,606
2126,256
8458,577
4223,784
11,287
4237,353
6336,821
6345,545
2131,111
11,296
8,389
4,515
8474,94
8458,590
8457,622
2124,334
4223,800
8468,276
4230,586
4236,406
4229,623
4240,280
6354,289
4217,999
2126,285
8474,101
6345,565
2114,659
8454,732
8,411
2119,505
8468,292
2113,694
6334,914
2124,357
2132,108
4240,300
