1000
MARY,1,2629
PATRICIA,2630,3702
LINDA,3703,4737
BARBARA,4738,5717
ELIZABETH,5718,6654
JENNIFER,6655,7586
MARIA,7587,8414
SUSAN,8415,9208
MARGARET,9209,9976
DOROTHY,9977,10703
LISA,10704,11407
NANCY,11408,12076
KAREN,12077,12743
BETTY,12744,13409
HELEN,13410,14072
SANDRA,14073,14701
DONNA,14702,15284
CAROL,15285,15849
RUTH,15850,16411
SHARON,16412,16933
MICHELLE,16934,17452
LAURA,17453,17962
SARAH,17963,18470
KIMBERLY,18471,18974
DEBORAH,18975,19468
JESSICA,19469,19958
SHIRLEY,19959,20440
CYNTHIA,20441,20909
ANGELA,20910,21377
MELISSA,21378,21839
BRENDA,21840,22294
AMY,22295,22745
ANNA,22746,23185
REBECCA,23186,23615
VIRGINIA,23616,24045
KATHLEEN,24046,24469
PAMELA,24470,24885
MARTHA,24886,25297
DEBRA,25298,25705
AMANDA,25706,26109
STEPHANIE,26110,26509
CAROLYN,26510,26894
CHRISTINE,26895,27276
MARIE,27277,27655
JANET,27656,28034
CATHERINE,28035,28407
FRANCES,28408,28777
ANN,28778,29141
JOYCE,29142,29505
DIANE,29506,29864
ALICE,29865,30221
JULIE,30222,30569
HEATHER,30570,30906
TERESA,30907,31242
DORIS,31243,31577
GLORIA,31578,31912
EVELYN,31913,32234
JEAN,32235,32549
CHERYL,32550,32864
MILDRED,32865,33177
KATHERINE,33178,33490
JOAN,33491,33796
ASHLEY,33797,34099
JUDITH,34100,34396
ROSE,34397,34692
JANICE,34693,34977
KELLY,34978,35260
NICOLE,35261,35541
JUDY,35542,35817
CHRISTINA,35818,36092
KATHY,36093,36364
THERESA,36365,36635
BEVERLY,36636,36902
DENISE,36903,37166
TAMMY,37167,37425
IRENE,37426,37677
JANE,37678,37927
LORI,37928,38175
RACHEL,38176,38417
MARILYN,38418,38658
ANDREA,38659,38894
KATHRYN,38895,39128
LOUISE,39129,39357
SARA,39358,39586
ANNE,39587,39814
JACQUELINE,39815,40042
WANDA,40043,40268
BONNIE,40269,40491
JULIA,40492,40714
RUBY,40715,40935
LOIS,40936,41155
TINA,41156,41375
PHYLLIS,41376,41594
NORMA,41595,41812
PAULA,41813,42029
DIANA,42030,42245
ANNIE,42246,42461
LILLIAN,42462,42672
EMILY,42673,42880
ROBIN,42881,43088
PEGGY,43089,43296
CRYSTAL,43297,43503
GLADYS,43504,43708
RITA,43709,43912
DAWN,43913,44114
CONNIE,44115,44314
FLORENCE,44315,44514
TRACY,44515,44711
EDNA,44712,44908
TIFFANY,44909,45103
CARMEN,45104,45298
ROSA,45299,45492
CINDY,45493,45684
GRACE,45685,45873
WENDY,45874,46058
VICTORIA,46059,46238
EDITH,46239,46417
KIM,46418,46595
SHERRY,46596,46773
SYLVIA,46774,46950
JOSEPHINE,46951,47127
THELMA,47128,47302
SHANNON,47303,47477
SHEILA,47478,47652
ETHEL,47653,47826
ELLEN,47827,47999
ELAINE,48000,48172
MARJORIE,48173,48345
CARRIE,48346,48516
CHARLOTTE,48517,48685
MONICA,48686,48851
ESTHER,48852,49017
PAULINE,49018,49182
EMMA,49183,49347
JUANITA,49348,49511
ANITA,49512,49673
RHONDA,49674,49835
HAZEL,49836,49996
AMBER,49997,50156
EVA,50157,50315
DEBBIE,50316,50472
APRIL,50473,50626
LESLIE,50627,50780
CLARA,50781,50933
LUCILLE,50934,51086
JAMIE,51087,51239
JOANNE,51240,51389
ELEANOR,51390,51539
VALERIE,51540,51688
DANIELLE,51689,51837
MEGAN,51838,51984
ALICIA,51985,52130
SUZANNE,52131,52275
MICHELE,52276,52420
GAIL,52421,52565
BERTHA,52566,52708
DARLENE,52709,52850
VERONICA,52851,52992
JILL,52993,53134
ERIN,53135,53275
GERALDINE,53276,53416
LAUREN,53417,53553
CATHY,53554,53690
JOANN,53691,53826
LORRAINE,53827,53961
LYNN,53962,54096
SALLY,54097,54231
REGINA,54232,54364
ERICA,54365,54494
BEATRICE,54495,54624
DOLORES,54625,54753
BERNICE,54754,54881
AUDREY,54882,55008
YVONNE,55009,55134
ANNETTE,55135,55259
JUNE,55260,55384
SAMANTHA,55385,55508
MARION,55509,55630
DANA,55631,55752
STACY,55753,55873
ANA,55874,55993
RENEE,55994,56113
IDA,56114,56231
VIVIAN,56232,56349
ROBERTA,56350,56466
HOLLY,56467,56583
BRITTANY,56584,56700
MELANIE,56701,56816
LORETTA,56817,56931
YOLANDA,56932,57046
JEANETTE,57047,57161
LAURIE,57162,57275
KATIE,57276,57388
KRISTEN,57389,57499
VANESSA,57500,57610
ALMA,57611,57721
SUE,57722,57832
ELSIE,57833,57942
BETH,57943,58052
JEANNE,58053,58161
VICKI,58162,58270
CARLA,58271,58377
TARA,58378,58484
ROSEMARY,58485,58591
EILEEN,58592,58696
TERRI,58697,58801
GERTRUDE,58802,58904
LUCY,58905,59007
TONYA,59008,59109
ELLA,59110,59210
STACEY,59211,59311
WILMA,59312,59410
GINA,59411,59509
KRISTIN,59510,59608
JESSIE,59609,59706
NATALIE,59707,59804
AGNES,59805,59902
VERA,59903,60000
WILLIE,60001,60097
CHARLENE,60098,60194
BESSIE,60195,60290
DELORES,60291,60385
MELINDA,60386,60479
PEARL,60480,60573
ARLENE,60574,60667
MAUREEN,60668,60759
COLLEEN,60760,60851
ALLISON,60852,60943
TAMARA,60944,61035
JOY,61036,61126
GEORGIA,61127,61217
CONSTANCE,61218,61308
LILLIE,61309,61398
CLAUDIA,61399,61488
JACKIE,61489,61578
MARCIA,61579,61668
TANYA,61669,61757
NELLIE,61758,61846
MINNIE,61847,61935
MARLENE,61936,62023
HEIDI,62024,62111
GLENDA,62112,62199
LYDIA,62200,62285
VIOLA,62286,62371
COURTNEY,62372,62457
MARIAN,62458,62543
STELLA,62544,62628
CAROLINE,62629,62713
DORA,62714,62797
JO,62798,62880
VICKIE,62881,62962
MATTIE,62963,63043
TERRY,63044,63123
MAXINE,63124,63202
IRMA,63203,63281
MABEL,63282,63359
MARSHA,63360,63437
MYRTLE,63438,63515
LENA,63516,63592
CHRISTY,63593,63669
DEANNA,63670,63745
PATSY,63746,63821
HILDA,63822,63896
GWENDOLYN,63897,63970
JENNIE,63971,64043
NORA,64044,64116
MARGIE,64117,64188
NINA,64189,64260
CASSANDRA,64261,64332
LEAH,64333,64404
PENNY,64405,64475
KAY,64476,64546
PRISCILLA,64547,64617
NAOMI,64618,64688
CAROLE,64689,64759
BRANDY,64760,64829
OLGA,64830,64899
BILLIE,64900,64968
DIANNE,64969,65037
TRACEY,65038,65106
LEONA,65107,65175
JENNY,65176,65243
FELICIA,65244,65311
SONIA,65312,65379
MIRIAM,65380,65445
VELMA,65446,65511
BECKY,65512,65577
BOBBIE,65578,65642
VIOLET,65643,65707
KRISTINA,65708,65772
TONI,65773,65836
MISTY,65837,65899
MAE,65900,65962
SHELLY,65963,66024
DAISY,66025,66086
RAMONA,66087,66148
SHERRI,66149,66210
ERIKA,66211,66271
KATRINA,66272,66332
CLAIRE,66333,66393
LINDSEY,66394,66453
LINDSAY,66454,66513
GENEVA,66514,66572
GUADALUPE,66573,66631
BELINDA,66632,66690
MARGARITA,66691,66749
SHERYL,66750,66808
CORA,66809,66866
FAYE,66867,66924
ADA,66925,66981
NATASHA,66982,67038
