id1,id2,friended_on
1,44,2013-12-15
1,45,2015-01-02
1,54,2006-10-28
1,61,2015-09-12
2,66,2013-05-25
4,12,2014-05-27
1,116,2014-10-19
2,86,2013-03-07
1,123,2012-03-17
4,34,2013-05-05
4,43,2014-04-14
5,17,2014-02-16
2,110,2014-01-12
5,18,2015-10-24
4,54,2015-02-05
5,38,2013-12-13
4,72,2014-04-15
1,167,2009-11-05
4,78,2015-02-12
2,140,2014-12-12
3,121,2013-10-22
3,124,2014-11-03
3,125,2015-04-30
1,194,2015-11-10
5,70,2014-07-06
2,165,2009-03-29
4,105,2015-11-24
2,167,2014-02-10
5,76,2013-12-08
6,46,2015-07-11
5,79,2015-02-13
4,115,2015-11-09
6,54,2005-10-04
2,178,2014-12-09
7,25,2008-09-20
1,213,2010-02-28
1,214,2009-03-20
7,30,2010-09-10
7,34,2005-11-22
3,161,2014-05-03
4,131,2013-03-24
2,195,2010-11-02
8,10,2014-11-06
6,76,2013-11-03
3,173,2015-10-17
6,81,2007-11-09
3,176,2013-12-14
4,145,2015-10-28
3,177,2015-01-28
4,147,2013-07-15
2,209,2013-01-19
8,24,2014-12-16
8,25,2015-11-14
4,152,2015-05-28
2,214,2015-11-07
8,29,2015-06-27
1,251,2014-11-29
2,226,2006-06-08
9,11,2015-09-20
2,233,2015-02-26
6,114,2006-05-15
4,178,2015-10-09
7,85,2015-11-28
5,149,2014-09-14
2,242,2015-10-04
3,212,2015-04-17
8,58,2014-04-15
5,154,2014-08-15
7,93,2013-05-13
1,283,2015-11-21
8,70,2015-02-03
10,8,2014-11-06
3,226,2014-10-10
6,133,2013-08-08
6,137,2014-07-25
4,200,2015-05-20
8,85,2014-12-30
4,210,2015-02-15
10,24,2008-09-04
5,185,2013-09-14
9,61,2015-11-08
3,251,2015-12-06
8,96,2013-11-27
2,283,2015-02-20
10,36,2013-12-02
5,195,2014-02-23
11,9,2015-09-20
2,295,2013-12-28
7,141,2011-12-07
5,203,2014-11-13
3,267,2014-08-31
3,270,2015-08-01
9,84,2015-10-04
10,55,2015-01-06
5,211,2015-03-09
6,184,2010-03-21
3,278,2014-10-16
4,248,2015-09-27
12,4,2014-05-27
7,159,2015-04-26
1,346,2014-04-21
11,36,2012-01-25
10,68,2009-10-02
6,193,2006-02-09
3,286,2014-05-04
2,319,2014-07-30
4,259,2013-07-25
5,229,2013-09-11
8,137,2013-08-19
12,14,2011-08-11
12,18,2015-12-15
12,20,2015-11-19
9,115,2015-11-09
5,240,2013-08-22
6,211,2013-01-29
10,89,2013-03-21
6,217,2015-05-07
7,189,2011-05-01
4,286,2013-02-18
2,349,2014-12-22
9,136,2015-10-08
12,44,2015-06-30
3,323,2014-09-23
11,75,2012-11-22
7,200,2015-11-22
8,171,2014-02-23
11,79,2013-07-19
4,296,2014-05-05
7,204,2015-11-04
8,175,2013-09-07
8,178,2014-04-28
13,23,2015-04-28
13,25,2003-06-19
5,273,2013-09-15
3,338,2014-10-22
9,155,2015-09-18
7,219,2013-11-10
7,223,2012-05-23
4,317,2015-05-09
11,100,2009-03-23
14,12,2011-08-11
5,292,2013-06-24
9,170,2015-09-14
2,395,2015-12-10
5,302,2014-04-02
2,396,2013-10-08
14,28,2013-07-27
1,434,2008-04-04
13,63,2013-06-04
8,219,2013-08-01
3,376,2015-12-12
11,130,2015-01-05
10,161,2012-06-15
13,72,2008-01-05
9,196,2015-11-11
7,259,2015-12-13
8,231,2014-10-02
9,201,2015-10-02
10,175,2015-05-25
4,364,2013-06-27
10,178,2015-12-20
14,56,2006-07-23
9,216,2015-09-29
13,92,2015-02-14
7,279,2010-11-10
14,63,2013-12-23
9,220,2015-11-30
10,191,2008-12-10
11,162,2015-11-16
6,318,2013-03-05
4,382,2015-12-22
1,477,2015-07-29
1,479,2013-05-21
7,293,2007-06-13
3,418,2015-01-09
10,202,2011-10-03
16,21,2007-11-12
16,22,2009-01-27
2,456,2014-03-01
12,149,2013-08-14
10,212,2008-01-09
13,119,2015-05-05
7,306,2012-11-03
9,246,2015-11-17
5,372,2015-08-08
8,281,2014-07-14
17,5,2014-02-16
2,470,2012-02-25
4,410,2015-11-15
9,255,2015-12-25
3,441,2014-10-25
6,349,2011-09-14
12,163,2014-06-10
15,73,2015-03-12
10,231,2014-06-12
9,262,2015-10-25
14,107,2009-10-29
8,296,2013-03-08
5,390,2014-02-11
17,21,2014-01-10
11,213,2009-10-19
13,151,2014-08-20
14,120,2007-05-01
15,91,2015-06-05
8,310,2013-06-25
2,497,2011-11-04
13,158,2005-01-01
18,5,2015-10-24
14,129,2014-06-23
6,380,2015-09-21
1,535,2013-12-01
2,505,2015-11-07
1,537,2014-05-26
11,227,2006-06-04
16,73,2010-05-14
4,445,2015-08-10
11,229,2012-08-23
18,12,2015-12-15
12,198,2015-08-01
15,105,2015-12-28
4,446,2015-07-05
10,261,2008-12-16
8,323,2014-10-13
4,449,2015-03-26
17,48,2013-12-23
4,451,2014-04-16
17,49,2015-07-12
4,453,2014-05-17
6,392,2015-02-04
16,85,2015-10-13
11,241,2010-09-17
1,551,2012-10-02
5,427,2014-04-10
14,149,2015-12-08
13,180,2014-05-27
16,89,2007-12-06
12,213,2009-05-17
15,120,2012-07-27
9,307,2015-10-21
6,401,2014-12-05
1,557,2015-09-28
17,62,2013-05-14
1,560,2009-07-07
3,499,2015-12-20
5,438,2014-09-21
14,160,2012-03-08
10,285,2007-05-09
5,441,2014-05-03
18,38,2015-10-28
17,70,2014-12-22
6,412,2003-12-05
9,319,2015-11-01
9,320,2015-12-24
3,506,2015-06-16
6,414,2014-05-21
15,136,2012-10-14
4,478,2013-04-15
10,293,2010-07-14
14,170,2004-12-14
17,79,2013-07-03
16,110,2015-05-10
7,390,2013-02-21
5,453,2014-03-27
3,516,2014-01-04
5,459,2015-05-22
6,429,2014-04-18
15,150,2015-11-28
10,306,2014-04-11
6,433,2015-07-03
4,495,2013-03-28
12,248,2015-05-14
14,186,2014-12-08
9,342,2015-09-03
9,343,2015-08-29
13,219,2014-05-21
11,287,2005-10-14
3,536,2014-02-08
12,257,2010-04-23
20,12,2015-11-19
5,478,2014-10-18
4,509,2014-04-30
8,385,2013-02-19
2,572,2008-11-17
12,265,2014-05-17
3,544,2015-01-05
6,452,2014-12-17
19,50,2012-03-31
10,331,2014-09-13
11,301,2002-10-22
9,363,2015-11-18
16,147,2009-04-25
14,210,2015-03-06
7,427,2012-07-16
15,180,2014-01-19
6,459,2012-02-18
15,181,2014-07-06
8,398,2015-10-20
3,553,2014-08-22
16,151,2015-09-15
4,524,2013-08-22
19,59,2014-12-05
7,432,2006-08-05
19,60,2015-09-08
5,496,2013-05-13
10,341,2010-07-10
13,253,2007-09-15
4,532,2013-03-10
1,626,2014-03-12
5,502,2014-09-02
10,350,2008-11-17
12,290,2015-05-12
1,632,2014-11-17
18,105,2015-10-13
14,230,2015-05-15
17,137,2015-09-14
6,479,2005-06-12
16,170,2014-07-23
21,16,2007-11-12
6,481,2013-05-01
14,233,2008-11-20
13,264,2015-12-14
21,17,2014-01-10
11,327,2011-11-26
3,575,2015-04-21
5,513,2015-09-14
7,451,2009-05-31
13,267,2015-03-13
6,484,2012-05-09
18,112,2015-11-01
3,578,2015-06-24
10,361,2011-02-09
6,486,2011-04-03
1,641,2008-02-25
17,149,2014-08-23
17,150,2015-12-04
10,367,2010-01-30
17,151,2014-11-01
18,121,2015-12-11
6,494,2006-11-14
7,465,2006-07-01
19,94,2013-09-26
10,374,2013-10-01
16,188,2014-11-03
15,219,2014-10-16
10,375,2013-09-02
12,314,2013-06-24
4,562,2013-02-25
1,656,2014-12-21
19,99,2013-11-06
15,223,2013-09-03
11,347,2015-11-05
10,379,2012-10-18
16,194,2015-12-02
21,39,2009-02-26
12,318,2015-09-07
13,288,2015-04-15
5,539,2013-10-30
4,570,2015-07-21
1,664,2007-05-29
19,106,2014-08-31
2,633,2015-06-16
4,571,2013-06-04
14,261,2012-03-09
13,293,2009-04-13
10,388,2010-12-07
22,16,2009-01-27
19,109,2012-02-13
16,202,2012-12-10
2,637,2015-12-15
21,49,2015-07-31
6,514,2007-05-01
8,452,2014-02-04
2,640,2009-09-10
10,393,2014-01-25
19,114,2011-09-03
12,332,2015-08-30
8,457,2014-06-04
