person_id,post_id
1,28
3,17
1,103
4,16
2,148
1,185
1,192
6,61
1,254
6,103
6,145
4,261
11,82
5,309
5,316
15,15
12,116
12,123
12,138
11,192
10,254
9,288
15,109
3,492
1,563
11,261
8,386
18,76
4,534
6,499
22,7
14,309
19,159
22,69
2,704
20,156
25,1
19,191
15,316
14,348
14,365
25,28
19,229
15,354
21,171
25,53
19,244
1,804
4,711
6,651
21,197
6,673
6,678
4,750
27,39
23,169
22,214
6,712
12,534
12,544
24,178
14,499
24,189
6,765
20,336
6,772
2,898
14,526
18,409
20,354
12,605
6,800
3,899
11,651
26,191
24,256
27,178
13,615
6,835
23,316
22,360
2,982
14,615
24,312
1,1028
1,1032
23,350
12,694
4,943
20,447
5,926
11,745
23,378
23,386
28,231
9,823
19,526
22,434
33,103
31,169
13,729
25,360
12,765
13,747
9,886
15,702
7,960
1,1147
20,564
25,410
13,809
29,316
19,646
30,316
19,658
23,534
20,632
20,633
32,261
21,608
40,22
27,438
24,534
40,44
34,233
29,392
13,894
12,926
33,285
4,1185
24,568
22,632
38,143
35,261
40,116
34,308
18,805
27,541
32,386
30,450
13,989
22,712
12,1028
43,74
45,13
6,1228
27,609
4,1331
37,309
9,1179
41,189
3,1377
22,789
35,386
4,1349
32,485
9,1202
39,278
22,820
4,1380
44,143
20,893
4,1395
32,534
4,1410
27,697
26,729
30,607
24,797
40,305
7,1331
3,1460
7,1339
19,976
8,1322
29,673
13,1173
8,1349
32,605
32,607
45,207
8,1355
20,989
40,369
9,1349
9,1355
15,1179
29,747
10,1342
28,792
14,1228
14,1233
19,1083
1,1648
27,853
31,729
32,702
45,308
4,1585
40,471
11,1374
55,10
13,1322
21,1076
3,1638
28,864
31,779
40,501
50,191
23,1032
24,1005
25,985
31,801
3,1672
5,1628
27,966
46,392
48,342
40,592
6,1647
12,1463
21,1189
57,74
32,853
31,894
55,151
40,624
36,755
15,1407
29,976
60,21
50,332
2,1823
21,1239
1,1862
24,1150
56,164
18,1347
57,138
44,544
32,926
39,712
34,870
52,316
29,1032
60,71
26,1126
7,1721
43,609
34,894
22,1280
12,1591
52,354
32,976
44,605
49,450
18,1414
59,143
58,185
36,877
21,1343
2,1934
36,882
29,1101
49,485
20,1385
41,748
11,1681
19,1437
33,1003
3,1937
13,1628
26,1232
22,1360
19,1455
44,684
10,1739
2,1994
59,231
3,1971
27,1231
41,800
37,926
21,1423
60,216
50,534
7,1868
8,1855
3,2013
45,711
47,651
56,384
49,605
26,1325
40,902
35,1058
5,1998
32,1173
49,658
53,534
3,2086
26,1378
58,386
67,107
31,1227
58,392
65,185
2,2139
45,809
56,476
44,853
40,989
66,185
3,2139
11,1891
40,994
20,1622
64,261
4,2129
44,894
9,1980
12,1895
49,750
52,684
47,852
70,143
32,1322
65,309
69,187
20,1708
28,1463
31,1371
5,2179
26,1529
56,599
33,1313
44,976
32,1355
26,1545
50,801
72,123
36,1246
36,1248
6,2179
29,1468
76,15
1,2345
35,1294
36,1267
63,433
48,904
21,1742
39,1185
27,1558
32,1406
65,386
46,976
58,607
36,1293
27,1577
26,1609
52,804
70,261
66,386
48,949
66,392
38,1262
41,1173
28,1578
21,1797
79,2
40,1212
5,2298
22,1775
9,2179
50,910
4,2337
26,1657
2,2413
19,1890
21,1833
53,846
63,538
70,321
2,2430
23,1779
30,1564
49,976
37,1349
15,2033
2,2437
76,143
58,702
34,1447
67,427
4,2406
25,1757
61,641
36,1418
67,457
44,1173
61,647
70,378
79,101
