id1,id2,friendedOn
1,45,2013-08-17
2,17,2015-08-18
1,57,2013-11-25
3,6,2014-08-18
3,33,2015-05-05
2,64,2015-05-29
2,75,2014-03-05
3,49,2015-02-15
4,18,2015-03-25
4,23,2012-04-09
1,119,2010-05-01
1,138,2008-07-05
3,84,2013-03-21
5,30,2015-12-24
1,156,2010-03-11
6,3,2014-08-18
4,68,2012-12-22
5,38,2014-08-02
3,101,2014-06-14
6,9,2012-03-21
6,13,2015-12-01
4,79,2014-08-10
4,80,2015-01-15
5,49,2014-12-10
6,23,2013-11-10
5,57,2005-10-13
4,89,2006-02-11
4,92,2014-09-20
4,93,2008-08-20
3,125,2015-10-27
2,162,2014-11-13
5,73,2015-04-16
7,11,2011-12-17
6,44,2012-08-24
3,139,2014-08-10
7,15,2015-09-06
3,140,2015-11-22
5,79,2014-08-14
6,49,2015-07-01
2,174,2015-07-05
7,21,2015-08-18
4,116,2015-10-05
4,117,2014-06-18
7,24,2015-09-09
6,66,2013-06-17
3,165,2013-11-08
7,52,2015-07-11
4,152,2007-10-23
9,6,2012-03-21
6,101,2014-09-10
8,40,2015-12-09
4,166,2009-06-15
5,135,2010-12-24
7,78,2013-12-24
3,202,2015-02-26
6,110,2014-03-31
3,208,2015-09-18
9,23,2014-03-09
2,240,2014-06-28
4,180,2013-09-24
5,149,2015-08-22
7,95,2012-12-11
7,96,2015-05-29
9,35,2008-02-15
3,221,2015-03-21
9,37,2013-01-23
2,254,2014-03-20
1,285,2014-12-02
9,39,2004-05-15
4,197,2012-09-09
5,168,2013-09-01
10,13,2015-09-01
1,292,2009-03-09
9,45,2013-09-18
6,138,2014-12-30
9,46,2015-12-10
9,49,2011-08-30
3,237,2012-11-27
2,276,2014-02-10
8,94,2015-12-27
3,251,2013-02-07
6,158,2011-09-27
2,284,2014-09-12
6,160,2015-09-27
4,223,2014-04-26
11,7,2011-12-17
7,133,2014-05-09
9,72,2015-06-17
3,259,2015-04-19
5,197,2013-11-01
4,229,2009-02-13
10,43,2014-09-20
11,13,2015-08-02
1,323,2015-07-20
10,45,2012-07-30
4,233,2009-02-23
8,109,2015-12-08
7,140,2015-10-24
5,206,2012-05-13
4,238,2015-03-10
4,239,2014-05-06
4,240,2015-09-26
9,86,2014-03-30
8,118,2015-12-15
7,150,2012-07-10
4,243,2005-01-17
6,185,2014-05-19
4,247,2015-03-01
2,311,2015-12-20
5,219,2015-04-14
7,158,2012-05-01
10,65,2015-04-30
8,130,2015-12-27
9,101,2008-04-12
3,287,2014-11-04
1,350,2013-01-20
10,74,2013-09-30
5,231,2010-11-11
12,17,2009-02-01
9,111,2013-03-28
9,112,2015-04-15
8,143,2015-12-06
12,20,2011-04-02
5,238,2015-11-13
4,271,2013-01-08
7,179,2014-04-20
12,26,2011-05-19
1,368,2015-08-03
10,94,2015-12-28
11,64,2015-11-04
13,6,2015-12-01
10,100,2015-10-28
8,162,2015-12-31
2,349,2015-04-02
9,133,2009-08-05
13,10,2015-09-01
13,11,2015-08-02
1,383,2006-05-13
7,201,2012-04-28
10,109,2015-11-14
6,233,2012-08-12
1,393,2006-05-02
3,334,2013-12-07
4,303,2015-03-31
9,148,2015-02-08
8,180,2015-12-09
5,274,2009-08-26
5,275,2012-07-29
4,310,2013-03-29
2,376,2014-05-11
8,191,2015-12-31
13,37,2015-12-16
9,161,2010-06-18
2,378,2014-12-17
9,162,2015-09-03
5,287,2014-11-03
2,382,2014-07-08
7,229,2013-10-05
13,44,2015-08-22
13,49,2015-08-12
1,422,2010-11-30
7,238,2015-01-25
4,331,2012-05-08
13,53,2015-11-29
7,244,2015-03-30
14,29,2015-06-28
11,122,2011-05-20
5,310,2010-05-24
3,373,2015-04-21
10,156,2012-07-21
12,96,2013-07-22
7,252,2012-08-03
5,314,2015-08-30
5,315,2015-12-16
11,129,2014-02-23
15,7,2015-09-06
3,380,2015-11-09
13,71,2015-08-16
9,195,2012-11-24
10,164,2015-09-17
8,231,2015-12-19
7,264,2015-11-17
2,420,2013-08-29
12,111,2014-07-30
4,361,2009-03-23
3,393,2014-01-05
6,303,2015-04-30
11,148,2015-02-09
10,181,2010-03-22
9,213,2006-12-23
6,306,2012-12-04
8,244,2015-12-30
8,247,2015-12-24
4,371,2007-03-21
3,402,2013-02-27
8,248,2015-12-13
1,466,2014-12-27
1,468,2006-11-24
9,221,2015-06-27
7,283,2015-03-11
8,253,2015-12-26
12,130,2008-11-20
13,99,2015-08-17
7,287,2013-07-10
10,194,2011-11-30
6,319,2012-05-23
5,350,2013-01-05
11,167,2015-03-30
10,199,2014-01-21
8,263,2015-12-13
4,388,2015-08-29
6,327,2012-11-14
11,173,2005-09-11
9,235,2014-09-05
13,112,2015-11-04
6,334,2011-10-10
9,242,2015-07-01
15,56,2007-12-07
6,336,2012-01-12
6,338,2015-04-10
7,307,2012-12-12
6,342,2015-06-24
4,405,2005-02-08
17,2,2015-08-18
6,347,2015-09-27
11,193,2013-12-29
1,503,2015-06-14
8,288,2015-12-03
15,71,2015-09-23
11,197,2012-07-05
1,507,2010-09-14
17,12,2009-02-01
10,229,2011-09-02
11,199,2014-11-02
16,47,2012-07-24
3,452,2015-03-08
6,359,2015-10-07
11,205,2013-08-23
16,53,2010-02-26
15,84,2010-04-27
3,457,2013-07-16
5,398,2007-09-15
16,57,2009-07-26
8,305,2015-12-07
13,154,2015-06-11
1,526,2015-01-01
6,373,2012-09-19
6,375,2012-06-17
11,220,2010-09-15
18,4,2015-03-25
11,225,2014-01-24
9,288,2014-02-12
13,167,2015-08-03
11,231,2010-07-03
1,542,2014-07-07
5,419,2010-08-02
7,359,2014-09-30
7,361,2013-09-22
4,454,2013-11-24
6,392,2012-07-04
9,300,2015-09-23
13,176,2015-05-31
2,517,2015-05-28
1,548,2015-09-19
9,301,2014-12-27
11,242,2014-10-30
6,398,2012-02-26
11,243,2005-03-19
2,523,2015-03-27
15,120,2011-07-27
16,95,2014-01-09
12,219,2014-02-29
5,437,2013-05-03
10,283,2008-09-13
8,348,2015-12-01
14,163,2015-07-13
17,72,2015-02-17
8,353,2015-12-08
5,446,2013-09-27
11,261,2013-02-13
18,45,2014-10-24
9,324,2007-07-20
15,138,2014-07-26
3,510,2015-11-01
15,139,2013-07-03
10,294,2003-03-19
7,388,2014-11-18
11,264,2015-12-24
15,141,2015-07-24
4,482,2015-08-18
9,329,2006-10-27
2,549,2013-09-21
16,115,2014-08-25
7,396,2015-02-13
15,148,2015-04-28
8,366,2015-12-25
19,26,2013-04-12
11,275,2015-01-09
19,27,2014-02-11
9,338,2011-11-18
16,121,2015-12-15
2,559,2015-09-11
9,344,2002-07-15
10,317,2015-08-30
18,69,2014-06-02
10,318,2012-02-16
18,70,2015-01-18
4,505,2015-07-16
10,322,2015-02-16
18,74,2015-03-16
20,12,2011-04-02
3,540,2014-10-07
8,387,2015-12-30
18,77,2015-02-05
19,46,2015-06-13
8,388,2015-12-11
17,109,2015-07-31
11,296,2009-12-27
11,299,2009-01-28
18,83,2015-11-22
7,424,2015-09-30
8,396,2015-12-15
16,148,2015-06-29
7,428,2014-04-05
15,180,2009-01-21
18,88,2015-12-31
11,306,2012-06-02
13,245,2015-11-01
15,183,2015-08-02
20,29,2014-07-02
13,247,2015-10-10
3,557,2014-05-11
15,186,2015-08-29
10,342,2015-06-29
16,158,2010-06-17
2,592,2014-02-15
16,160,2013-02-17
21,7,2015-08-18
20,38,2015-07-21
1,628,2015-12-08
15,194,2015-06-25
14,226,2012-02-25
11,321,2012-04-13
18,104,2015-12-22
14,228,2014-02-09
10,353,2014-12-27
17,137,2015-05-19
14,230,2013-05-05
18,108,2015-01-23
17,140,2015-08-26
18,111,2015-05-26
2,608,2014-05-21
10,360,2011-12-30
20,50,2015-05-02
1,641,2015-02-24
3,580,2013-07-28
11,333,2012-10-04
3,582,2013-04-24
10,365,2015-08-05
19,87,2015-08-05
3,584,2014-12-27
3,586,2013-08-16
10,369,2013-11-05
20,59,2012-11-20
7,463,2015-09-22
13,278,2015-09-18
15,216,2015-03-28
20,62,2004-04-01
8,434,2015-12-17
11,341,2014-03-19
7,467,2012-05-26
5,529,2012-02-02
3,591,2015-08-03
18,130,2015-10-08
7,472,2012-07-22
21,38,2012-06-13
1,659,2015-12-26
14,257,2015-10-17
10,382,2006-01-24
19,103,2011-10-18
17,165,2011-07-10
8,446,2015-12-11
11,353,2015-07-24
9,415,2010-09-12
4,570,2013-08-10
13,292,2015-08-29
7,478,2015-01-05
17,169,2015-11-15
6,510,2015-06-12
7,482,2014-09-08
9,420,2011-03-13
13,296,2015-08-11
19,111,2009-11-16
21,50,2015-07-12
20,81,2014-06-01
7,484,2012-10-17
12,329,2013-09-13
18,145,2014-10-16
8,456,2015-12-08
18,146,2015-10-17
15,240,2014-09-09
5,550,2012-09-18
9,428,2014-12-03
19,118,2015-03-27
9,429,2012-02-09
9,432,2015-03-24
18,154,2015-04-04
16,217,2015-08-21
13,311,2015-08-31
12,343,2013-05-07
4,592,2015-12-29
3,624,2012-10-06
8,469,2015-12-26
23,4,2012-04-09
7,500,2014-10-30
22,36,2015-11-29
16,222,2015-11-27
19,129,2010-09-29
3,625,2014-12-22
23,6,2013-11-10
18,163,2014-05-05
23,9,2014-03-09
10,412,2015-07-20
8,475,2015-12-18
7,506,2014-08-28
14,292,2013-09-18
12,357,2009-12-31
5,575,2006-01-13
19,141,2015-10-25
16,234,2014-07-06
1,699,2013-04-21
18,173,2015-03-26
8,485,2015-12-07
2,671,2014-01-30
5,581,2015-01-08
2,675,2013-09-09
7,522,2014-12-20
22,58,2014-08-27
23,27,2009-03-17
9,462,2011-06-03
14,307,2013-01-29
16,245,2015-09-21
7,525,2015-06-02
11,403,2011-11-30
20,124,2009-06-08
5,589,2015-01-05
13,342,2015-05-30
9,466,2015-04-07
2,683,2014-04-19
7,529,2015-11-11
5,593,2015-02-13
22,69,2013-02-13
24,7,2015-09-09
19,162,2013-08-25
11,411,2014-07-14
23,40,2014-06-18
13,350,2015-08-23
9,475,2012-08-04
19,166,2012-04-05
23,42,2011-09-19
3,666,2013-09-12
20,141,2015-07-22
11,420,2011-09-07
23,49,2011-11-02
12,390,2013-12-23
19,174,2015-03-20
22,82,2015-01-14
7,547,2013-03-23
3,671,2013-05-18
4,640,2015-05-23
21,113,2015-12-20
7,548,2013-01-18
5,610,2011-12-18
11,424,2015-11-26
20,146,2011-07-26
3,676,2013-04-08
16,273,2011-04-27
9,491,2013-08-24
3,677,2012-10-28
21,123,2014-03-02
13,372,2015-09-25
24,31,2011-02-17
7,558,2014-06-25
14,342,2015-08-21
3,684,2013-11-29
19,189,2014-10-27
15,313,2009-07-08
18,221,2015-09-04
9,501,2012-10-08
4,656,2010-05-20
23,68,2015-02-01
11,441,2015-07-24
21,133,2007-05-03
23,72,2015-10-13
4,662,2014-07-18
2,725,2013-11-09
13,384,2015-06-17
3,695,2015-06-06
9,510,2007-08-06
8,542,2015-12-22
2,730,2013-06-09
22,112,2014-12-09
8,546,2015-12-29
7,578,2013-05-17
24,51,2015-06-26
9,517,2015-02-08
4,672,2011-10-07
7,580,2015-07-13
23,85,2015-08-09
18,241,2014-06-21
21,148,2015-12-26
5,645,2013-11-10
13,398,2015-12-11
17,274,2010-06-11
25,28,2011-08-20
13,400,2015-12-15
14,369,2013-07-22
14,371,2014-08-12
5,650,2007-03-17
25,31,2014-11-05
18,248,2015-06-26
15,342,2014-11-06
11,467,2004-10-09
6,623,2013-08-11
6,624,2012-10-05
8,563,2015-11-29
3,718,2013-07-17
18,254,2014-12-12
23,99,2015-07-31
7,595,2013-07-21
14,379,2014-01-18
5,658,2014-12-22
4,693,2007-08-22
19,228,2015-02-06
6,631,2013-09-03
26,12,2011-05-19
17,292,2006-10-16
3,726,2015-10-17
7,604,2013-08-15
13,418,2015-12-18
18,264,2015-10-02
21,172,2014-06-16
4,699,2012-07-02
14,390,2012-03-23
18,266,2015-12-06
26,19,2013-04-12
13,423,2015-08-31
18,268,2015-05-09
14,395,2015-11-04
8,581,2015-12-27
13,428,2015-06-29
9,553,2011-01-22
20,212,2014-08-31
9,554,2013-07-11
10,523,2013-12-25
3,740,2014-11-03
24,90,2015-04-09
21,183,2011-03-15
8,587,2015-12-02
15,370,2012-04-07
20,215,2015-07-01
18,277,2015-09-03
21,187,2012-03-10
9,559,2015-01-29
19,249,2015-03-11
7,621,2014-06-22
2,777,2015-10-08
13,436,2015-08-24
9,561,2015-03-02
22,159,2015-08-28
17,315,2015-10-03
13,441,2015-10-18
6,658,2011-12-11
26,39,2010-08-29
21,195,2013-10-21
9,567,2008-03-25
25,72,2015-03-04
6,661,2013-07-06
21,197,2012-08-29
14,414,2011-12-23
9,570,2010-05-04
11,510,2007-08-05
2,789,2015-02-29
14,418,2014-09-20
19,263,2014-08-16
6,666,2014-04-21
12,480,2013-06-21
11,512,2015-11-05
5,698,2014-05-30
7,637,2014-06-11
16,358,2013-11-01
20,234,2013-03-30
27,19,2014-02-11
22,176,2014-12-04
26,52,2015-12-11
9,579,2012-11-20
22,177,2015-06-19
27,23,2009-03-17
11,520,2014-01-21
2,799,2014-01-24
6,675,2011-10-17
14,428,2015-01-30
11,522,2011-02-19
20,243,2006-03-26
2,801,2013-11-04
3,771,2015-08-30
8,617,2015-11-27
3,772,2015-07-11
26,60,2010-02-11
4,742,2012-02-24
8,619,2015-12-06
3,775,2013-03-01
20,248,2009-04-07
23,156,2012-09-01
6,684,2013-03-02
17,343,2010-07-30
24,126,2011-11-23
5,715,2009-04-10
18,313,2014-06-24
17,344,2009-04-14
15,406,2009-11-26
2,809,2015-12-23
2,810,2015-12-15
18,316,2015-02-04
14,441,2015-06-26
7,659,2015-09-30
18,318,2014-10-04
19,289,2014-12-10
26,74,2014-09-17
18,322,2015-11-22
10,571,2014-02-14
14,447,2013-04-02
11,541,2015-03-24
10,574,2015-05-25
15,421,2015-08-13
22,204,2013-08-27
9,607,2003-09-02
2,824,2015-12-20
10,578,2011-02-04
20,268,2004-07-18
26,82,2013-10-26
9,610,2010-09-13
4,765,2015-06-13
8,642,2015-12-24
15,426,2009-09-08
14,457,2013-03-27
8,643,2015-11-27
5,736,2015-05-12
28,25,2011-08-20
19,305,2011-06-19
14,461,2012-02-12
2,833,2014-03-19
21,245,2015-12-20
7,680,2015-02-21
24,153,2011-09-29
28,29,2011-12-12
8,650,2015-12-24
23,186,2010-03-26
15,435,2015-03-17
18,343,2014-04-22
8,653,2015-12-17
9,623,2013-03-13
18,346,2015-10-14
19,315,2011-05-24
9,625,2012-11-18
27,69,2014-02-21
15,441,2015-07-08
27,70,2014-10-20
18,352,2015-05-26
27,73,2013-11-27
28,42,2014-12-26
14,477,2014-10-19
6,726,2012-11-25
29,14,2015-06-28
10,603,2015-04-27
14,479,2014-12-25
24,170,2015-02-08
18,356,2015-03-18
16,418,2015-08-04
24,172,2015-10-30
4,793,2015-06-19
7,700,2015-09-28
29,20,2014-07-02
25,144,2015-04-17
19,331,2013-07-03
7,704,2012-05-07
17,395,2014-08-13
13,519,2015-12-10
21,271,2015-07-03
2,863,2014-07-28
1,894,2015-04-22
11,585,2014-12-26
15,461,2014-02-07
26,120,2013-05-26
29,28,2011-12-12
5,773,2010-05-14
3,835,2012-12-23
17,402,2011-02-07
22,248,2013-01-06
18,373,2015-06-03
26,125,2009-03-20
5,776,2005-09-03
9,652,2009-07-25
7,715,2012-05-25
19,343,2010-04-30
24,188,2008-08-12
5,777,2015-07-20
23,219,2013-09-03
11,592,2010-06-26
6,747,2012-10-18
3,841,2013-07-05
7,718,2013-06-02
30,5,2015-12-24
27,98,2015-02-21
26,129,2013-07-05
27,99,2015-03-30
12,565,2015-01-23
7,721,2015-12-15
21,288,2015-05-12
9,660,2010-06-21
28,72,2015-10-18
12,568,2015-08-24
16,444,2015-08-12
10,630,2013-12-05
8,693,2015-12-29
29,42,2012-04-14
7,725,2012-05-18
8,694,2015-12-15
7,726,2015-08-03
14,509,2014-07-16
13,541,2015-12-20
4,821,2013-07-14
8,698,2015-12-08
16,450,2011-03-18
22,265,2015-12-07
8,700,2015-12-09
2,887,2014-08-14
18,391,2014-09-16
5,795,2015-03-22
5,796,2014-03-22
1,920,2004-04-23
21,301,2015-05-20
13,550,2015-06-24
5,798,2008-01-21
16,458,2013-03-17
24,210,2012-02-26
7,738,2014-04-13
18,398,2014-06-09
23,244,2015-11-04
6,771,2014-03-19
7,740,2012-09-10
7,741,2015-01-13
15,493,2013-11-17
14,525,2012-02-25
12,587,2015-09-21
18,401,2015-01-31
13,556,2015-12-30
17,434,2015-05-07
5,807,2010-02-14
4,840,2015-01-22
20,344,2005-01-29
11,624,2013-03-20
17,439,2015-11-12
8,719,2015-12-11
1,937,2013-06-22
30,39,2013-06-18
7,753,2013-07-09
23,257,2015-12-12
16,475,2008-08-03
6,789,2014-12-16
5,821,2014-09-17
7,759,2014-10-03
26,171,2015-12-17
23,264,2015-07-25
27,140,2015-12-02
27,141,2015-04-20
11,638,2014-01-04
4,855,2011-12-05
5,825,2012-01-01
4,856,2014-01-29
6,794,2015-11-20
7,765,2014-03-12
30,53,2012-08-09
29,85,2015-09-21
17,457,2010-10-04
31,24,2011-02-17
31,25,2014-11-05
14,553,2012-03-13
19,398,2013-11-03
15,523,2010-09-11
14,554,2014-02-26
29,90,2015-11-09
25,214,2014-10-23
27,152,2014-02-21
2,927,2015-11-09
21,339,2012-07-29
20,371,2011-11-14
7,775,2014-11-12
24,248,2011-10-10
4,869,2007-10-31
21,343,2010-08-16
23,281,2015-11-26
10,684,2011-06-28
7,778,2014-10-05
31,36,2013-08-01
4,874,2010-09-30
17,473,2015-12-03
15,535,2011-09-25
31,39,2011-02-29
9,722,2014-05-28
1,970,2008-04-03
26,196,2015-01-28
24,259,2015-03-04
23,291,2013-11-28
14,570,2012-02-27
2,942,2014-05-10
1,974,2012-12-06
3,914,2013-08-23
4,885,2015-06-16
14,576,2012-07-05
12,638,2014-05-06
23,298,2010-09-01
8,764,2015-11-28
4,889,2015-03-21
15,550,2015-09-07
18,457,2015-08-27
5,860,2010-03-15
31,56,2012-07-31
27,180,2004-07-01
25,242,2015-09-11
25,243,2012-08-03
5,864,2009-09-22
