person_id,post_id
2,150
1,247
1,262
3,205
7,92
10,58
3,324
2,358
3,348
2,384
6,262
14,72
16,14
4,414
5,384
4,420
11,205
3,467
15,110
16,87
1,555
5,444
17,139
17,150
1,649
22,41
4,615
3,660
14,341
17,272
2,750
13,414
25,44
13,422
19,238
2,770
4,709
18,287
19,262
27,41
7,662
16,387
22,205
12,518
16,402
23,198
12,543
5,774
9,666
9,674
26,152
12,591
3,878
30,60
21,347
11,660
29,147
31,85
28,184
15,591
17,543
11,741
7,874
34,41
17,577
25,351
26,329
12,770
10,839
2,1091
2,1093
10,848
6,993
37,38
37,41
9,911
16,699
6,1022
10,913
33,205
38,58
18,682
4,1121
19,662
32,263
11,919
35,179
13,863
18,710
17,749
16,787
16,793
16,797
7,1078
20,679
3,1244
5,1184
21,699
40,110
33,328
10,1046
4,1236
12,1002
26,573
1,1354
7,1169
11,1049
36,276
7,1177
21,750
31,441
32,411
36,287
44,41
2,1346
20,796
36,305
39,228
20,820
1,1414
23,741
46,38
46,41
29,569
35,389
32,484
28,617
6,1302
18,937
37,348
16,1001
16,1005
41,238
40,271
44,147
31,555
17,995
39,313
16,1035
31,577
33,518
36,427
6,1360
11,1206
17,1042
40,348
34,543
32,606
39,389
39,392
29,704
35,518
14,1171
16,1113
4,1493
10,1320
46,205
50,95
50,96
45,255
51,72
52,41
11,1318
15,1199
45,276
41,407
37,543
54,17
1,1671
21,1061
33,691
34,660
10,1405
12,1345
49,198
29,820
34,668
26,919
1,1697
45,334
46,305
36,625
21,1091
20,1124
47,287
6,1560
26,944
43,419
20,1136
29,858
51,184
19,1177
21,1119
14,1342
36,665
15,1318
39,574
13,1384
3,1713
50,258
40,569
15,1346
52,205
51,238
51,255
3,1744
58,42
49,324
53,205
55,145
28,991
30,941
9,1603
14,1449
39,681
26,1087
12,1522
45,504
37,770
29,1022
60,63
32,933
4,1804
20,1311
30,1012
11,1630
39,764
28,1106
44,612
54,308
61,95
9,1708
10,1682
26,1188
13,1593
12,1625
55,292
61,106
28,1136
16,1509
26,1199
10,1698
49,492
3,1929
62,106
12,1657
62,110
14,1600
59,205
12,1671
49,525
43,713
47,590
54,378
9,1778
26,1254
30,1133
55,364
39,861
62,150
12,1720
63,139
18,1539
34,1049
23,1396
58,312
30,1182
18,1565
39,922
17,1606
63,180
17,1608
55,437
61,258
26,1352
62,238
7,1950
46,741
65,152
32,1177
33,1163
54,512
31,1231
3,2106
38,1022
33,1181
3,2117
68,105
55,511
42,919
68,114
32,1233
28,1358
67,149
26,1424
11,1894
33,1212
35,1154
10,1930
51,661
23,1532
1,2220
4,2133
34,1206
33,1244
37,1124
16,1780
61,385
23,1566
56,543
7,2063
37,1136
44,919
32,1292
58,489
70,120
48,813
70,133
23,1595
19,1720
55,606
26,1513
15,1865
60,471
23,1619
46,919
7,2129
12,1981
56,617
11,2015
67,280
14,1926
41,1090
62,444
63,417
58,573
13,1975
7,2162
16,1888
53,741
45,995
42,1093
35,1311
56,660
69,262
16,1908
32,1416
28,1553
57,665
48,945
50,890
18,1887
32,1458
16,1958
61,570
47,1005
72,231
56,741
38,1302
25,1707
67,407
17,1967
65,484
21,1853
29,1608
73,246
28,1643
51,941
71,328
50,993
33,1522
25,1773
81,38
26,1744
28,1689
79,110
38,1382
3,2470
59,741
34,1517
80,96
70,408
47,1124
77,199
33,1566
39,1380
61,704
36,1482
3,2508
29,1703
48,1119
23,1896
43,1280
28,1750
61,727
29,1720
51,1042
5,2470
49,1107
58,828
64,642
73,363
40,1390
17,2106
76,277
31,1676
47,1188
83,81
49,1136
21,2006
73,395
36,1546
34,1610
61,774
76,320
6,2491
5,2529
35,1607
42,1390
78,276
73,437
52,1093
79,258
6,2522
47,1253
70,543
62,796
33,1696
67,642
7,2506
76,372
29,1830
12,2360
1,2706
36,1630
21,2098
85,116
66,706
31,1795
84,152
40,1517
39,1549
78,343
9,2487
21,2122
26,1967
5,2623
45,1384
21,2130
33,1762
70,617
6,2604
12,2421
11,2453
55,1093
62,878
15,2343
66,763
11,2470
65,796
71,610
36,1697
42,1517
45,1424
83,246
83,272
35,1762
19,2261
77,467
71,659
82,318
50,1311
91,41
72,635
50,1319
54,1198
15,2408
59,1049
21,2233
51,1303
55,1181
57,1119
37,1744
93,11
7,2680
13,2496
41,1630
84,302
37,1764
1,2883
29,2015
30,1988
76,564
80,441
84,318
32,1931
83,351
7,2717
17,2408
56,1199
21,2286
40,1697
43,1606
13,2538
10,2632
56,1206
34,1894
72,716
12,2579
71,751
73,689
18,2398
83,384
85,322
58,1161
5,2805
60,1101
18,2406
65,953
39,1766
71,776
72,749
79,532
83,408
14,2551
57,1222
60,1131
15,2529
25,2219
23,2282
39,1786
42,1697
41,1732
45,1608
85,369
29,2106
50,1456
31,2057
66,975
14,2589
96,48
29,2126
18,2468
33,2004
4,2908
16,2542
66,992
51,1462
11,2703
68,938
4,2931
56,1319
4,2933
62,1136
98,22
12,2694
63,1113
45,1675
31,2112
2,3012
12,2703
62,1154
66,1034
12,2712
14,2651
95,141
7,2874
28,2223
45,1696
45,1698
40,1862
61,1212
62,1181
21,2453
64,1123
13,2706
50,1560
76,755
18,2554
48,1627
83,543
6,2931
56,1381
94,204
60,1260
62,1199
93,239
29,2224
81,612
51,1549
47,1675
6,2952
49,1619
49,1620
76,783
83,567
90,350
63,1188
19,2555
31,2187
37,2004
95,210
15,2696
76,805
35,2085
99,106
43,1843
29,2280
48,1691
93,296
55,1475
71,985
10,2884
10,2889
18,2644
81,691
41,1934
25,2431
73,945
99,139
6,3024
33,2187
3,3127
52,1608
64,1236
65,1206
80,754
4,3111
29,2336
49,1718
52,1625
36,2123
68,1134
97,241
54,1577
37,2106
72,1021
45,1859
26,2449
76,900
50,1713
37,2117
3,3182
94,362
36,2162
55,1575
66,1234
39,2073
12,2911
82,741
14,2855
16,2796
105,38
45,1901
105,41
33,2278
71,1100
5,3147
5,3150
88,577
38,2129
87,612
83,741
21,2664
90,525
43,1984
3,3225
75,995
85,688
29,2431
77,944
35,2249
55,1629
94,420
18,2778
16,2843
33,2322
13,2948
11,3012
93,470
98,318
62,1439
48,1877
87,668
7,3149
13,2971
57,1610
42,2076
101,249
106,95
41,2112
71,1182
12,3015
19,2801
41,2124
25,2622
103,205
14,2966
98,367
96,432
15,2952
67,1347
26,2621
44,2063
50,1877
17,2905
6,3249
95,490
15,2971
52,1824
99,370
67,1369
24,2703
7,3231
76,1092
100,348
89,690
3,3357
68,1345
15,2989
47,1997
104,232
54,1783
98,419
41,2187
66,1412
76,1107
87,770
30,2539
47,2015
89,715
16,2981
62,1566
39,2289
80,1024
55,1803
96,535
100,411
107,199
10,3210
47,2068
45,2132
19,2947
79,1090
27,2703
110,133
75,1222
61,1657
17,3025
70,1382
21,2909
81,1049
111,120
23,2852
33,2548
64,1592
15,3114
42,2278
49,2068
65,1573
89,833
80,1113
16,3098
70,1424
84,993
21,2948
64,1621
49,2087
18,3050
12,3237
19,3024
57,1850
3,3527
63,1677
114,96
116,41
30,2710
96,669
49,2129
4,3528
78,1241
101,529
12,3289
77,1280
94,755
12,3298
28,2804
4,3549
2,3612
54,2000
47,2224
71,1481
50,2133
52,2076
48,2206
64,1713
33,2678
82,1163
94,796
30,2781
56,1975
50,2162
56,1981
63,1764
111,277
51,2139
73,1462
31,2765
12,3357
31,2770
34,2678
114,205
41,2470
3,3649
104,518
10,3433
115,180
62,1828
5,3602
26,2951
55,2052
97,750
14,3324
19,3169
42,2456
109,381
120,41
119,74
87,1067
72,1534
23,3054
47,2312
57,2004
57,2007
78,1356
63,1823
67,1700
48,2290
41,2511
107,465
117,155
29,2888
34,2736
87,1093
30,2861
93,908
67,1720
110,388
57,2033
78,1382
117,174
10,3493
49,2285
77,1419
89,1047
42,2508
47,2362
62,1897
47,2369
37,2681
89,1069
68,1723
121,81
14,3399
12,3462
5,3680
15,3376
59,2015
45,2453
8,3601
41,2579
79,1404
3,3762
18,3304
35,2781
38,2688
101,735
9,3588
105,612
109,500
124,38
115,318
38,2706
63,1931
10,3577
11,3547
124,44
95,947
109,513
39,2685
121,144
12,3528
92,1049
3,3810
87,1206
13,3501
1,3874
18,3347
19,3318
104,689
47,2457
122,133
116,324
54,2248
120,205
39,2718
83,1354
63,1975
21,3278
62,2007
122,147
76,1575
82,1390
48,2446
2,3875
104,713
42,2636
56,2205
85,1306
11,3601
11,3602
40,2703
72,1711
11,3612
37,2808
18,3398
14,3525
33,2936
35,2875
110,552
49,2446
88,1240
100,874
72,1745
13,3585
68,1880
26,3183
80,1513
14,3565
117,372
124,168
124,174
44,2656
71,1820
66,1979
110,615
68,1931
106,753
119,350
21,3389
113,539
31,3083
70,1875
37,2899
118,388
57,2280
3,3955
29,3151
60,2190
88,1324
26,3247
83,1482
64,2074
35,2979
118,407
12,3696
43,2736
95,1125
9,3792
65,2056
65,2057
125,198
26,3268
130,44
114,543
25,3304
57,2312
102,919
47,2625
107,770
18,3533
130,62
36,2979
119,407
35,3012
39,2889
123,287
90,1311
29,3203
12,3731
23,3392
52,2493
45,2712
103,919
82,1573
124,272
7,3903
76,1764
79,1671
3,4029
128,155
32,3132
1,4094
57,2360
96,1152
13,3727
77,1746
99,1067
116,543
81,1630
114,612
32,3156
40,2908
96,1172
78,1732
122,370
80,1675
100,1061
97,1155
50,2615
13,3768
