person_id,group_id
658,82
132,5
264,10
924,30
659,53
396,16
264,13
262,76
659,61
792,36
792,37
659,64
659,65
792,43
793,13
659,71
659,74
924,52
659,75
132,30
264,34
659,77
265,4
792,52
659,79
265,10
397,14
792,57
265,11
264,42
792,58
659,85
397,16
792,59
265,13
793,29
265,15
132,42
396,51
792,63
659,90
265,17
794,6
793,37
528,60
265,22
264,53
794,8
132,53
792,74
264,59
924,79
794,14
397,33
266,1
132,59
792,79
266,2
792,81
266,4
265,35
794,21
794,22
793,54
134,4
134,6
266,10
264,72
792,88
792,89
794,29
530,23
266,17
134,14
530,26
265,49
924,100
264,81
266,20
266,21
132,79
265,55
264,88
264,89
399,1
265,59
134,25
266,29
266,30
399,4
264,93
267,1
793,79
2,25
134,29
793,80
266,34
267,4
267,5
267,6
663,19
265,70
3,2
267,10
134,37
266,41
399,15
266,42
266,43
265,74
267,13
399,17
2,36
399,21
134,45
794,65
794,66
793,97
663,33
266,52
793,100
531,31
794,70
266,55
266,56
794,72
664,8
266,58
926,78
399,33
266,61
266,64
531,42
400,8
399,39
267,36
532,14
267,38
134,65
3,31
267,40
2,63
399,47
266,74
399,49
663,57
3,40
267,48
794,100
267,54
267,56
399,61
266,88
530,96
663,73
533,8
266,95
267,65
266,98
269,8
401,13
3,63
2,96
134,100
401,16
267,74
399,80
2,99
796,63
927,98
137,14
3,72
664,62
401,32
796,82
136,63
532,75
267,98
137,33
401,42
664,86
3,98
532,84
400,81
6,12
401,56
931,11
401,59
400,92
665,70
931,17
400,98
931,25
931,27
931,30
534,50
271,14
931,34
533,84
401,81
271,16
402,51
533,86
931,42
533,92
931,43
533,93
7,16
665,98
534,65
668,9
931,50
931,55
139,32
140,2
931,58
140,5
8,2
140,10
8,10
8,11
931,71
8,15
931,74
8,17
931,77
534,97
8,20
140,25
140,30
8,27
8,31
931,90
8,33
140,37
140,42
799,93
931,98
141,13
8,41
799,98
670,4
140,50
670,5
670,7
8,49
141,23
536,68
8,53
140,57
271,93
8,55
8,57
536,73
8,58
140,64
141,34
670,20
8,64
141,38
7,98
933,66
536,86
141,44
8,71
670,30
8,72
934,40
141,48
140,79
140,80
8,77
8,79
8,80
536,96
933,78
671,14
8,88
8,90
670,50
934,60
8,97
8,100
934,70
670,70
936,20
407,36
275,33
141,96
936,31
935,62
936,33
671,57
935,66
934,98
12,9
670,92
935,75
275,63
407,70
145,2
145,5
805,28
407,78
673,25
277,15
805,35
145,16
673,33
805,38
409,32
277,29
145,26
277,30
541,39
937,51
13,27
673,47
936,86
541,44
541,45
13,30
540,78
541,51
145,42
673,60
936,99
14,12
541,59
14,14
13,45
145,50
937,76
145,56
277,70
805,86
13,68
939,36
14,40
