id,createdOn,creator_id,content_id
1,2010-02-01,994,3
2,2015-11-12,175,1
3,2015-02-12,869,4
4,2011-04-21,426,2
5,2013-10-28,561,1
6,2011-08-20,360,1
7,2014-10-06,608,2
8,2014-02-21,115,2
9,2009-05-07,467,4
10,2014-04-29,907,2
11,2011-05-14,273,3
12,2009-01-02,415,4
13,2012-02-23,755,2
14,2015-03-10,441,1
15,2014-08-14,500,4
16,2015-10-22,200,4
17,2015-12-12,301,3
18,2015-07-19,983,1
19,2014-12-09,318,4
20,2009-01-28,203,4
21,2012-07-24,929,3
22,2015-11-20,73,1
23,2011-07-07,513,3
24,2014-04-16,814,4
25,2015-07-23,48,2
26,2012-05-27,488,3
27,2008-02-25,117,3
28,2015-02-24,249,2
29,2015-02-13,68,4
30,2013-03-26,933,3
31,2014-08-28,424,2
32,2008-05-07,545,1
33,2013-06-04,732,4
34,2008-08-24,283,3
35,2014-06-24,751,3
36,2011-06-07,304,1
37,2010-01-27,973,2
38,2014-01-27,120,3
39,2015-05-02,890,2
40,2015-02-07,894,1
41,2014-01-07,417,1
42,2009-08-01,419,2
43,2015-03-07,995,2
44,2014-06-22,219,4
45,2014-10-12,372,1
46,2008-11-18,543,2
47,2015-08-18,495,2
48,2014-12-11,753,3
49,2015-11-19,249,2
50,2013-12-26,823,3
51,2015-08-28,939,1
52,2014-05-19,174,3
53,2009-11-06,633,1
54,2015-02-02,935,4
55,2010-06-13,47,1
56,2012-09-15,863,1
57,2015-12-04,491,2
58,2015-11-12,729,2
59,2015-06-11,902,4
60,2014-01-25,598,4
61,2005-01-24,93,3
62,2014-08-26,637,4
63,2005-09-28,996,3
64,2011-09-13,749,3
65,2014-06-02,985,4
66,2015-09-25,670,3
67,2001-10-17,774,3
68,2012-03-31,896,2
69,2007-11-27,672,4
70,2014-04-09,292,1
71,2010-03-20,717,4
72,2006-01-09,591,2
73,2007-02-04,442,2
74,2015-10-27,116,1
75,2002-05-06,338,3
76,2015-09-18,560,2
77,2011-02-21,379,4
78,2015-11-22,217,4
79,2009-02-07,283,4
80,2013-01-08,768,1
81,2013-01-19,48,1
82,2003-02-01,246,4
83,2011-01-04,28,2
84,2012-01-12,379,4
85,2015-11-22,439,1
86,2015-09-21,721,4
87,2015-01-27,559,4
88,2012-05-23,543,4
89,2014-02-28,442,1
90,2009-07-17,26,4
91,2013-04-25,892,1
92,2013-10-22,957,3
93,2007-11-11,932,1
94,2005-02-18,833,3
95,2013-08-28,80,1
96,2010-12-02,119,2
97,2015-05-13,601,4
98,2014-03-12,482,4
99,2012-10-05,514,2
100,2013-05-02,379,2
101,2006-03-04,578,4
102,2014-06-16,652,3
103,2012-07-22,1,2
104,2013-04-03,341,4
105,2012-06-28,942,1
106,2012-06-05,165,2
107,2014-01-24,911,2
108,2013-02-23,464,1
109,2014-06-08,178,4
110,2015-07-30,975,2
111,2015-05-28,320,4
112,2014-09-30,502,2
113,2005-01-17,802,2
114,2010-09-06,806,4
115,2013-04-10,371,3
116,2014-05-10,683,2
117,2012-02-25,69,3
