person_id,post_id
1,3
2,7
1,40
1,43
2,30
3,14
1,80
3,30
2,73
2,86
2,89
5,20
5,43
3,108
4,84
2,149
4,89
6,30
6,34
7,11
5,75
2,170
5,77
3,148
5,86
3,150
5,96
2,203
6,89
5,127
2,228
2,229
7,74
7,80
5,143
2,238
9,23
2,246
3,220
6,129
2,258
5,169
2,273
5,180
5,182
1,311
2,295
2,296
3,265
1,332
11,22
11,27
7,153
3,278
7,154
2,310
5,218
11,35
12,7
5,225
3,296
10,85
11,54
3,303
10,86
2,339
7,189
6,222
13,7
7,194
11,73
4,295
9,140
5,266
6,239
11,84
3,333
3,336
1,404
5,282
1,407
10,128
5,284
2,378
5,286
6,255
2,381
6,258
3,353
13,43
4,323
13,47
1,420
12,84
5,304
14,27
7,246
14,31
4,343
3,379
6,287
1,443
14,40
7,259
1,446
2,416
5,323
5,324
7,267
13,84
15,23
13,86
3,398
7,280
14,63
3,411
16,12
2,448
14,76
5,359
11,175
12,146
2,457
15,54
6,335
16,30
6,342
2,467
17,2
2,469
14,100
16,38
5,382
15,72
7,321
5,388
10,233
6,359
17,22
5,397
13,149
17,27
6,371
7,343
3,470
18,7
16,72
11,228
11,234
7,359
11,236
1,548
11,239
2,519
3,489
16,89
1,556
14,156
11,250
3,499
5,438
11,254
14,161
15,130
11,255
1,566
9,318
11,256
15,133
3,512
17,78
18,47
5,453
2,547
15,144
17,85
14,181
4,493
5,467
7,405
7,414
20,13
6,449
15,170
11,298
13,238
5,487
9,365
15,179
18,86
18,88
18,89
13,246
3,560
17,127
14,222
17,129
13,254
10,348
21,7
13,258
21,13
2,603
10,359
11,336
14,246
22,2
13,284
2,626
3,595
7,471
22,7
21,40
17,165
17,166
21,42
3,601
22,14
14,263
13,295
15,233
21,47
2,641
3,611
15,239
18,146
20,84
6,519
11,364
15,240
20,85
3,614
17,182
11,371
11,374
10,406
15,251
11,378
2,658
23,7
14,287
11,381
17,196
5,569
13,323
17,203
10,421
6,548
14,303
